,new_part_id,participant_id,group_num,background,complexity,min_hotspots,max_hotspots,min_circles,max_circles,kernel,bandwidth,distance,k,b,d
0,1,1,2,tech,1,4,20,5,10,gaussian,0.0025,euclidean,0,1,0
1,2,2,1,none,1,13,11,17,14,gaussian,0.005,euclidean,0,0,0
2,3,3,1,none,1,10,24,50,65,gaussian,0.005,euclidean,0,0,0
3,4,4,1,none,1,5,15,8,15,linear,0.005,euclidean,1,0,0
4,5,6,1,none,1,9,16,19,13,gaussian,0.005,euclidean,0,0,0
5,6,7,1,none,1,50,90,50,55,tophat,0.005,manhattan,1,0,1
6,7,8,2,tech,1,40,55,20,30,gaussian,0.005,euclidean,0,0,0
7,8,10,1,none,1,6,12,9,14,gaussian,0.005,euclidean,0,0,0
8,9,11,1,none,1,10,18,6,10,gaussian,0.005,euclidean,0,0,0
9,10,12,1,none,1,17,50,5,30,gaussian,0.005,euclidean,0,0,0
10,11,13,1,none,1,20,28,20,28,gaussian,0.005,euclidean,0,0,0
11,12,14,1,none,1,25,35,7,15,linear,0.005,euclidean,1,0,0
12,13,15,1,none,1,5,25,4,10,gaussian,0.005,euclidean,0,0,0
13,14,16,3,professional,1,10,16,15,25,gaussian,0.005,euclidean,0,0,0
14,15,17,1,none,1,9,21,6,13,gaussian,0.0075,manhattan,0,1,1
15,16,18,1,none,1,3,9,3,12,gaussian,0.005,euclidean,0,0,0
16,17,19,1,none,1,3,27,4,10,gaussian,0.005,euclidean,0,0,0
17,18,20,1,none,1,130,165,25,40,epanechnikov,0.005,euclidean,1,0,0
18,19,22,1,none,1,3,9,20,50,gaussian,0.005,euclidean,0,0,0
19,20,23,1,none,1,3,10,5,12,gaussian,0.005,euclidean,0,0,0
20,21,24,1,none,1,6,8,10,16,gaussian,0.005,euclidean,0,0,0
21,22,25,1,none,1,5,16,9,17,gaussian,0.005,euclidean,0,0,0
22,23,26,1,none,1,50,70,40,60,linear,0.005,euclidean,1,0,0
23,24,27,1,none,1,10,20,20,30,gaussian,0.005,euclidean,0,0,0
24,25,28,1,none,1,9,13,3,5,gaussian,0.005,euclidean,0,0,0
25,26,29,1,none,1,50,80,12,23,gaussian,0.005,euclidean,0,0,0
26,27,30,1,none,1,5,8,23,40,gaussian,0.005,euclidean,0,0,0
27,28,31,1,none,1,10,15,10,15,gaussian,0.005,euclidean,0,0,0
28,29,32,2,tech,1,11,17,49,57,gaussian,0.005,euclidean,0,0,0
29,30,34,2,tech,1,12,15,60,80,gaussian,0.005,euclidean,0,0,0
30,31,37,1,none,1,30,45,45,55,gaussian,0.005,euclidean,0,0,0
31,32,38,1,none,1,15,25,10,20,gaussian,0.005,euclidean,0,0,0
32,33,40,1,none,1,70,80,30,35,tophat,0.005,manhattan,1,0,1
33,34,41,1,none,1,9,11,4,5,gaussian,0.005,euclidean,0,0,0
34,35,42,2,tech,1,6,9,80,105,gaussian,0.005,euclidean,0,0,0
35,36,43,2,tech,1,6,9,9,14,gaussian,0.005,euclidean,0,0,0
36,37,44,1,none,1,4,13,5,8,gaussian,0.005,euclidean,0,0,0
37,38,47,2,tech,1,6,10,14,20,gaussian,0.005,euclidean,0,0,0
38,39,48,2,tech,1,15,19,8,13,gaussian,0.005,euclidean,0,0,0
39,40,50,3,professional,1,10,15,18,25,gaussian,0.005,euclidean,0,0,0
40,41,51,1,none,1,36,56,15,25,gaussian,0.005,euclidean,0,0,0
41,42,52,1,none,1,11,23,13,16,gaussian,0.005,euclidean,0,0,0
42,43,53,3,professional,1,8,22,18,23,gaussian,0.005,euclidean,0,0,0
43,44,54,1,none,1,10,30,10,30,gaussian,0.005,euclidean,0,0,0
44,45,55,1,none,1,6,12,3,5,gaussian,0.005,euclidean,0,0,0
45,46,56,1,none,1,25,30,25,30,gaussian,0.005,euclidean,0,0,0
46,47,57,1,none,1,12,12,3,5,gaussian,0.005,euclidean,0,0,0
47,48,58,1,none,1,20,50,50,100,gaussian,0.005,euclidean,0,0,0
48,49,59,3,professional,1,10,20,50,60,gaussian,0.005,euclidean,0,0,0
49,50,60,3,professional,1,4,6,18,24,gaussian,0.005,euclidean,0,0,0
50,51,61,3,professional,1,10,18,20,40,gaussian,0.005,euclidean,0,0,0
51,52,62,3,professional,1,10,15,15,25,gaussian,0.005,euclidean,0,0,0
52,53,64,2,tech,1,18,25,15,20,gaussian,0.005,euclidean,0,0,0
53,54,65,2,tech,1,20,40,15,25,epanechnikov,0.0075,manhattan,1,1,1
54,55,63,1,none,1,50,85,50,70,gaussian,0.005,euclidean,0,0,0
55,56,66,2,tech,1,20,50,15,30,gaussian,0.005,euclidean,0,0,0
56,57,67,1,none,1,5,11,20,45,gaussian,0.005,euclidean,0,0,0
57,58,68,2,tech,1,15,50,25,28,linear,0.005,euclidean,1,0,0
58,59,69,2,tech,1,5,8,12,16,gaussian,0.005,euclidean,0,0,0
59,1,1,2,tech,2,5,15,5,9,gaussian,0.0025,euclidean,0,1,0
60,2,2,1,none,2,8,4,12,8,gaussian,0.005,euclidean,0,0,0
61,3,3,1,none,2,3,10,50,65,gaussian,0.005,euclidean,0,0,0
62,4,4,1,none,2,8,20,20,30,linear,0.005,euclidean,1,0,0
63,5,6,1,none,2,6,9,9,13,gaussian,0.005,euclidean,0,0,0
64,6,7,1,none,2,60,90,35,45,epanechnikov,0.0075,manhattan,1,1,1
65,7,8,2,tech,2,23,30,34,40,gaussian,0.005,euclidean,0,0,0
66,8,10,1,none,2,7,13,5,11,tophat,0.0075,manhattan,1,1,1
67,9,11,1,none,2,5,9,6,8,gaussian,0.0075,euclidean,0,1,0
68,10,12,1,none,2,10,18,5,15,gaussian,0.005,euclidean,0,0,0
69,11,13,1,none,2,12,26,12,26,gaussian,0.005,euclidean,0,0,0
70,12,14,1,none,2,35,40,7,10,gaussian,0.005,euclidean,0,0,0
71,13,15,1,none,2,3,6,4,7,gaussian,0.005,euclidean,0,0,0
72,14,16,3,professional,2,16,22,22,25,gaussian,0.005,euclidean,0,0,0
73,15,17,1,none,2,5,15,5,9,linear,0.005,manhattan,1,0,1
74,16,18,1,none,2,2,6,4,8,gaussian,0.005,euclidean,0,0,0
75,17,19,1,none,2,3,47,2,15,gaussian,0.005,euclidean,0,0,0
76,18,20,1,none,2,250,290,40,50,epanechnikov,0.005,euclidean,1,0,0
77,19,22,1,none,2,4,8,28,35,gaussian,0.005,euclidean,0,0,0
78,20,23,1,none,2,5,12,7,15,gaussian,0.005,euclidean,0,0,0
79,21,24,1,none,2,4,5,4,5,gaussian,0.005,euclidean,0,0,0
80,22,25,1,none,2,7,14,9,15,gaussian,0.005,euclidean,0,0,0
81,23,26,1,none,2,60,75,25,35,linear,0.005,euclidean,1,0,0
82,24,27,1,none,2,15,25,10,20,linear,0.005,euclidean,1,0,0
83,25,28,1,none,2,6,10,4,5,tophat,0.005,euclidean,1,0,0
84,26,29,1,none,2,50,70,8,15,gaussian,0.005,euclidean,0,0,0
85,27,30,1,none,2,7,10,13,19,gaussian,0.005,euclidean,0,0,0
86,28,31,1,none,2,8,15,10,15,gaussian,0.005,euclidean,0,0,0
87,29,32,2,tech,2,8,17,53,60,gaussian,0.005,euclidean,0,0,0
88,30,34,2,tech,2,10,15,20,25,gaussian,0.005,euclidean,0,0,0
89,31,37,1,none,2,20,30,8,12,gaussian,0.005,euclidean,0,0,0
90,32,38,1,none,2,8,25,10,15,gaussian,0.005,euclidean,0,0,0
91,33,40,1,none,2,90,110,40,45,tophat,0.005,manhattan,1,0,1
92,34,41,1,none,2,8,10,4,5,gaussian,0.005,euclidean,0,0,0
93,35,42,2,tech,2,4,6,80,105,gaussian,0.005,euclidean,0,0,0
94,36,43,2,tech,2,5,11,6,10,gaussian,0.005,euclidean,0,0,0
95,37,44,1,none,2,5,7,5,7,gaussian,0.005,euclidean,0,0,0
96,38,47,2,tech,2,4,7,5,9,gaussian,0.005,euclidean,0,0,0
97,39,48,2,tech,2,10,13,7,9,gaussian,0.005,euclidean,0,0,0
98,40,50,3,professional,2,6,10,6,12,gaussian,0.005,euclidean,0,0,0
99,41,51,1,none,2,25,40,12,20,gaussian,0.005,euclidean,0,0,0
100,42,52,1,none,2,6,10,6,9,gaussian,0.005,euclidean,0,0,0
101,43,53,3,professional,2,10,23,11,25,gaussian,0.005,euclidean,0,0,0
102,44,54,1,none,2,4,9,4,9,gaussian,0.005,euclidean,0,0,0
103,45,55,1,none,2,0,0,2,6,gaussian,0.005,euclidean,0,0,0
104,46,56,1,none,2,15,20,15,20,gaussian,0.005,euclidean,0,0,0
105,47,57,1,none,2,5,6,3,4,gaussian,0.005,euclidean,0,0,0
106,48,58,1,none,2,20,55,20,30,gaussian,0.005,euclidean,0,0,0
107,49,59,3,professional,2,10,20,50,60,gaussian,0.005,euclidean,0,0,0
108,50,60,3,professional,2,4,6,14,26,gaussian,0.005,euclidean,0,0,0
109,51,61,3,professional,2,10,16,16,22,gaussian,0.005,euclidean,0,0,0
110,52,62,3,professional,2,5,10,10,15,gaussian,0.005,euclidean,0,0,0
111,53,64,2,tech,2,12,20,10,18,gaussian,0.005,manhattan,0,0,1
112,54,65,2,tech,2,20,30,10,20,gaussian,0.0025,euclidean,0,1,0
113,55,63,1,none,2,50,85,45,70,gaussian,0.005,euclidean,0,0,0
114,56,66,2,tech,2,15,30,15,20,gaussian,0.005,euclidean,0,0,0
115,57,67,1,none,2,8,10,10,20,gaussian,0.005,euclidean,0,0,0
116,58,68,2,tech,2,45,80,45,55,linear,0.0025,euclidean,1,1,0
117,59,69,2,tech,2,4,7,5,8,gaussian,0.005,euclidean,0,0,0
118,1,1,2,tech,3,4,10,4,10,gaussian,0.0075,euclidean,0,1,0
119,2,2,1,none,3,10,8,19,9,gaussian,0.005,euclidean,0,0,0
120,3,3,1,none,3,3,10,50,65,gaussian,0.005,euclidean,0,0,0
121,4,4,1,none,3,12,18,30,40,linear,0.005,euclidean,1,0,0
122,5,6,1,none,3,13,20,13,26,gaussian,0.005,euclidean,0,0,0
123,6,7,1,none,3,125,175,40,60,tophat,0.0075,manhattan,1,1,1
124,7,8,2,tech,3,28,38,49,59,gaussian,0.005,euclidean,0,0,0
125,8,10,1,none,3,4,7,4,7,epacnechnikov,0.01,chebyshev,1,1,1
126,9,11,1,none,3,4,8,4,6,gaussian,0.0075,euclidean,0,1,0
127,10,12,1,none,3,20,50,5,30,gaussian,0.005,euclidean,0,0,0
128,11,13,1,none,3,15,48,15,48,gaussian,0.005,euclidean,0,0,0
129,12,14,1,none,3,40,50,10,12,gaussian,0.005,euclidean,0,0,0
130,13,15,1,none,3,2,6,3,6,gaussian,0.005,euclidean,0,0,0
131,14,16,3,professional,3,11,28,6,10,gaussian,0.005,euclidean,0,0,0
132,15,17,1,none,3,4,10,6,11,tophat,0.01,manhattan,1,1,1
133,16,18,1,none,3,2,5,2,6,gaussian,0.005,euclidean,0,0,0
134,17,19,1,none,3,14,50,25,50,gaussian,0.005,euclidean,0,0,0
135,18,20,1,none,3,450,600,50,60,epacnechnikov,0.005,euclidean,1,0,0
136,19,22,1,none,3,3,7,25,50,gaussian,0.005,euclidean,0,0,0
137,20,23,1,none,3,7,15,10,18,gaussian,0.005,euclidean,0,0,0
138,21,24,1,none,3,3,5,6,8,gaussian,0.005,euclidean,0,0,0
139,22,25,1,none,3,4,13,5,18,gaussian,0.005,euclidean,0,0,0
140,23,26,1,none,3,75,95,45,55,linear,0.005,euclidean,1,0,0
141,24,27,1,none,3,5,10,5,10,tophat,0.005,euclidean,1,0,0
142,25,28,1,none,3,4,6,4,5,epacnechnikov,0.0075,euclidean,1,1,0
143,26,29,1,none,3,80,120,12,30,gaussian,0.005,euclidean,0,0,0
144,27,30,1,none,3,8,15,9,18,gaussian,0.005,euclidean,0,0,0
145,28,31,1,none,3,10,20,15,30,gaussian,0.005,euclidean,0,0,0
146,29,32,2,tech,3,11,14,36,49,gaussian,0.005,euclidean,0,0,0
147,30,34,2,tech,3,7,10,15,25,gaussian,0.005,euclidean,0,0,0
148,31,37,1,none,3,35,50,15,25,gaussian,0.005,euclidean,0,0,0
149,32,38,1,none,3,10,17,5,13,gaussian,0.005,euclidean,0,0,0
150,33,40,1,none,3,75,85,40,50,linear,0.01,euclidean,1,1,0
151,34,41,1,none,3,5,7,3,4,gaussian,0.005,euclidean,0,0,0
152,35,42,2,tech,3,2,5,80,105,gaussian,0.005,euclidean,0,0,0
153,36,43,2,tech,3,5,9,5,10,gaussian,0.005,euclidean,0,0,0
154,37,44,1,none,3,5,7,5,7,gaussian,0.005,euclidean,0,0,0
155,38,47,2,tech,3,3,6,4,10,gaussian,0.005,euclidean,0,0,0
156,39,48,2,tech,3,16,20,6,9,gaussian,0.005,euclidean,0,0,0
157,40,50,3,professional,3,5,7,8,12,gaussian,0.005,euclidean,0,0,0
158,41,51,1,none,3,35,50,30,45,gaussian,0.005,euclidean,0,0,0
159,42,52,1,none,3,7,11,6,10,gaussian,0.005,euclidean,0,0,0
160,43,53,3,professional,3,20,40,18,32,gaussian,0.005,euclidean,0,0,0
161,44,54,1,none,3,3,15,3,15,gaussian,0.005,euclidean,0,0,0
162,45,55,1,none,3,0,0,2,6,gaussian,0.005,euclidean,0,0,0
163,46,56,1,none,3,27,30,27,30,gaussian,0.005,euclidean,0,0,0
164,47,57,1,none,3,3,5,3,4,gaussian,0.005,euclidean,0,0,0
165,48,58,1,none,3,20,45,20,35,gaussian,0.005,euclidean,0,0,0
166,49,59,3,professional,3,8,15,50,60,gaussian,0.005,euclidean,0,0,0
167,50,60,3,professional,3,6,8,30,38,gaussian,0.005,euclidean,0,0,0
168,51,61,3,professional,3,18,33,19,36,gaussian,0.005,euclidean,0,0,0
169,52,62,3,professional,3,10,15,15,20,gaussian,0.005,euclidean,0,0,0
170,53,64,2,tech,3,15,22,8,12,gaussian,0.0075,manhattan,0,1,1
171,54,65,2,tech,3,5,30,5,15,gaussian,0.0025,euclidean,0,1,0
172,55,63,1,none,3,90,120,80,100,gaussian,0.005,manhattan,0,0,1
173,56,66,2,tech,3,35,50,25,40,gaussian,0.005,euclidean,0,0,0
174,57,67,1,none,3,7,12,15,25,gaussian,0.005,euclidean,0,0,0
175,58,68,2,tech,3,70,100,60,115,tophat,0.01,chebyshev,1,1,1
176,59,69,2,tech,3,3,6,8,13,gaussian,0.005,euclidean,0,0,0
177,60,70,2,tech,1,6,12,11,15,gaussian,0.005,euclidean,0,0,0
178,60,70,2,tech,2,12,19,6,15,tophat,0.005,manhattan,1,0,1
179,60,70,2,tech,3,5,8,5,13,gaussian,0.005,euclidean,0,0,0
