StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q51_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q25,Q26,Q27_1,Q27_2,Q27_3,Q28_1,Q28_2,Q28_3,Q29,Q30_1,Q31,Q32,Q32_9_TEXT,Q33,Q33_9_TEXT,Q34,Q35,Q36,Q37,Q37_5_TEXT,Q38,Q39,Q40,Q41,Q42,Q43,Q44_1,Q45,Q46,Q51_1 - Sentiment,Q51_1 - Sentiment Score,Q51_1 - Sentiment Polarity,Q51_1 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your participant number? - Enter a numerical value:,"Mental Demand
How much mental and perceptual activity was required (e.g. thinking, deciding, calculating, searching, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving? - Move the slider to the point that best indicates your experience of the task","Physical Demand
How much physical activity was required (e.g. pushing, pulling, turning, controlling, etc)? Was the task easy or demanding, simple or complex, exacting or forgiving? - Move the slider to the point that best indicates your experience of the task","Temporal Demand
How much time pressure did you feel due to the rate of pace at which the tasks or task elements occurred? Was the pace slow and leisurely or rapid and frantic? - Move the slider to the point that best indicates your experience of the task","Performance
How successful do you think you were in accomplishing the goals of the tasks set by the experimenter? How satisfied were you with your performance in accomplishing these goals? - Move the slider to the point that best indicates your experience of the task","Effort
How hard did you have to work (mentally and physically) to accomplish your level of performance? - Move the slider to the point that best indicates your experience of the task","Frustration
How insecure, discouraged, irritated, stressed and annoyed versus secure, gratified, content, relaxed and complacent did you feel during the task? - Move the slider to the point that best indicates your experience of the task",Which factor represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,Which factors represents the more important contributor to workload for the task?,"Before today, how familiar were you with crime analysis?","Before today, how familiar were you with algorithms for data analysis?",How well did you understand the meaning of the following parameters? - Kernel,How well did you understand the meaning of the following parameters? - Bandwidth,How well did you understand the meaning of the following parameters? - Distance Metric,How useful did you find the following parameters? - Kernel,How useful did you find the following parameters? - Bandwidth,How useful did you find the following parameters? - Distance Metric,Which district divisions did you reference when plotting the area circles on the map?,What is your age? - Please enter a numerical value,Do you consider yourself Hispanic or Latino?,"Regardless of your previous answer, how would you describe your race? Choose all that may apply. - Selected Choice","Regardless of your previous answer, how would you describe your race? Choose all that may apply. - Other (please specify) - Text",How do you identify your gender? Choose all that may apply. - Selected Choice,How do you identify your gender? Choose all that may apply. - Other (please specify) - Text,What is your education level?,What is your marital status?,What is your current employment status?,What best describes the type of organization you work for? - Selected Choice,What best describes the type of organization you work for? - Other (please specify) - Text,What is your household income?,Have you or any family member ever served in the military or law enforcement?,Have you ever participated in any conflict resolution or peace education programs in a school or community setting?,Have you ever been involved in any sort of protest or political demonstration?,"How do you feel about the following statement: ""More government funds should be allocated to police crime labs""","How do you feel about the following statement: ""More government funds should be allocated to putting more police officers on the streets""",What is your political affiliation? - Drag the slider to where you consider your political stance,What is your political stance on government authority?,What is your political stance on economic policy?,Q51_1 - Sentiment,Q51_1 - Sentiment Score,Q51_1 - Sentiment Polarity,Q51_1 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID55_1""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID25_3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_9_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_5_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID55_1_be0ee55b9dae42f4a8316273Sentiment""}","{""ImportId"":""QID55_1_be0ee55b9dae42f4a8316273SenScore""}","{""ImportId"":""QID55_1_be0ee55b9dae42f4a8316273SenPol""}","{""ImportId"":""QID55_1_be0ee55b9dae42f4a8316273Topics""}"
2019-06-10 08:35:59,2019-06-10 09:43:55,IP Address,134.48.160.169,100,4075,True,2019-06-10 09:43:55,R_z71d8XYOosfJgl3,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,,5,1,4,9,3,7,Mental Demand,Performance,Performance,Temporal Demand,Mental Demand,Frustration,Performance,Performance,Temporal Demand,Temporal Demand,Frustration,Temporal Demand,Effort,Mental Demand,Temporal Demand,Somewhat familiar,Somewhat familiar,Somewhat well,Somewhat well,Somewhat well,Somewhat useless,Neither useful nor useless,Neither useful nor useless,Neither,21,No,White,,Male,,Some college,Unmarried/Single,Part-time employment,Other (please specify),University,"$75,000 to $99,999",No,No,No,Neither agree nor disagree,Somewhat agree,5,Neutral,Neutral,,,,
2019-06-10 09:57:33,2019-06-10 12:01:26,IP Address,134.48.163.139,100,7432,True,2019-06-10 12:01:27,R_1GJR7iLMMxsnBst,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,3,13,3,1,14,12,7,Mental Demand,Performance,Mental Demand,Frustration,Mental Demand,Frustration,Performance,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat familiar,Very unfamiliar,Very poorly,Very poorly,Neither well nor poorly,Very useless,Very useless,Very useless,Neither,34,No,White,,Male,,Bachelor's degree,Unmarried/Single,Full-time employment,"Non-profit, tax-exempt, or charitable organization",,"$35,000 to $49,999",No,Yes,Yes,Agree,Somewhat agree,9,Authoritarian,Fiscally conservative,Neutral,0,0,Unknown
2019-06-10 15:20:03,2019-06-10 15:51:45,IP Address,134.48.163.130,100,1902,True,2019-06-10 15:51:45,R_39lrOHBpYe0nWyR,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,4,14,0,7,13,10,1,Mental Demand,Performance,Mental Demand,Frustration,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Frustration,Mental Demand,Somewhat unfamiliar,Very unfamiliar,Somewhat poorly,Somewhat poorly,Somewhat poorly,Somewhat useful,Neither useful nor useless,Somewhat useful,Aldermanic,21,No,White,,Female,,Bachelor's degree,Unmarried/Single,Student,For-profit company or business,,"Less than $25,000",No,No,No,Agree,Agree,5,Neutral,Somewhat fiscally conservative,Neutral,0,0,Unknown
2019-06-11 07:56:27,2019-06-11 08:19:29,IP Address,134.48.161.64,100,1381,True,2019-06-11 08:19:29,R_1pE73w0ou8Dz2ms,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,2,8,1,3,1,1,2,Mental Demand,Performance,Performance,Temporal Demand,Effort,Physical Demand,Performance,Performance,Temporal Demand,Temporal Demand,Effort,Performance,Effort,Mental Demand,Temporal Demand,Very unfamiliar,Somewhat unfamiliar,Somewhat poorly,Neither well nor poorly,Neither well nor poorly,Neither useful nor useless,Somewhat useful,Somewhat useful,Neither,24,No,White,,Female,,Some college,Unmarried/Single,Full-time employment,For-profit company or business,,"$75,000 to $99,999",Yes,Yes,Yes,Somewhat agree,Somewhat disagree,2,Somewhat Libertarian,Somewhat fiscally conservative,Neutral,0,0,Unknown
2019-06-11 08:35:58,2019-06-11 09:25:49,IP Address,134.48.162.67,100,2991,True,2019-06-11 09:25:50,R_OIHbQcaTfMWABkR,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,6,12,3,6,3,9,16,Mental Demand,Performance,Performance,Temporal Demand,Mental Demand,Frustration,Performance,Performance,Effort,Temporal Demand,Frustration,Performance,Effort,Mental Demand,Mental Demand,Somewhat unfamiliar,Somewhat unfamiliar,Somewhat poorly,Somewhat well,Somewhat well,Somewhat useless,Somewhat useless,Neither useful nor useless,Neither,27,No,White,,Female,,Bachelor's degree,Unmarried/Single,Student,"Non-profit, tax-exempt, or charitable organization",,"$25,000 to $34,999",Yes,Yes,Yes,Agree,Somewhat agree,1,Somewhat Authoritarian,Somewhat fiscally conservative,Neutral,0,0,Unknown
2019-06-10 17:52:44,2019-06-11 11:06:14,IP Address,134.48.163.130,100,62009,True,2019-06-11 11:06:14,R_2RWwPbgJHuGwNig,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,11,4,1,10,14,9,1,Physical Demand,Performance,Mental Demand,Temporal Demand,Effort,Physical Demand,Effort,Performance,Effort,Physical Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat unfamiliar,Somewhat unfamiliar,Somewhat poorly,Somewhat poorly,Somewhat poorly,Somewhat useful,Somewhat useful,Somewhat useful,Aldermanic,21,Yes,"White,Native American or First Nations",,Male,,Currently enrolled in college,Unmarried/Single,Student,Other (please specify),"Private Lutheran Elementary School ","$150,000 or more",Yes,Yes,Yes,Somewhat disagree,Somewhat disagree,2,Somewhat Libertarian,Somewhat fiscally Liberal,Positive,1,0,Unknown
2019-06-11 09:38:58,2019-06-11 11:47:25,IP Address,134.48.162.67,100,7706,True,2019-06-11 11:47:25,R_3D8uF3dapdAECPg,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,8,10,1,3,12,9,1,Mental Demand,Performance,Mental Demand,Temporal Demand,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Mental Demand,Somewhat familiar,Somewhat familiar,Somewhat poorly,Somewhat poorly,Very well,Very useless,Very useless,Somewhat useful,Neither,21,No,White,,Male,,Currently enrolled in college,Unmarried/Single,Student,Not currently employed,,"$50,000 to $74,999",No,No,No,Somewhat agree,Neither agree nor disagree,5,Somewhat Libertarian,Fiscally conservative,Neutral,0,0,Unknown
2019-06-11 11:27:34,2019-06-11 12:05:18,IP Address,134.48.163.130,100,2264,True,2019-06-11 12:05:19,R_2pWzgUlbVfwLFg9,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,12,14,1,1,5,12,13,Mental Demand,Frustration,Mental Demand,Frustration,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Frustration,Performance,Effort,Frustration,Mental Demand,Somewhat unfamiliar,Very unfamiliar,Very poorly,Somewhat well,Neither well nor poorly,Very useless,Very useful,Somewhat useful,Neither,23,No,White,,Male,,Some college,Unmarried/Single,Student,Other (please specify),Craigslist,"$75,000 to $99,999",No,No,Yes,Somewhat disagree,Somewhat disagree,5,Neutral,Neutral,Neutral,0,0,Unknown
2019-06-11 12:13:31,2019-06-11 13:40:46,IP Address,134.48.163.217,100,5235,True,2019-06-11 13:40:47,R_TcjMs50YCayuenD,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,13,12,4,7,10,12,7,Mental Demand,Performance,Mental Demand,Frustration,Effort,Frustration,Performance,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat familiar,Somewhat unfamiliar,Somewhat poorly,Neither well nor poorly,Very poorly,Neither useful nor useless,Neither useful nor useless,Neither useful nor useless,Neither,34,No,White,,Male,,Bachelor's degree,Unmarried/Single,Self-employed,Other (please specify),Journalism,"$25,000 to $34,999",No,No,No,Somewhat agree,Neither agree nor disagree,4,Somewhat Libertarian,Somewhat fiscally conservative,Neutral,0,0,Unknown
2019-06-11 13:55:56,2019-06-11 14:17:20,IP Address,134.48.162.132,100,1283,True,2019-06-11 14:17:21,R_2fIn07Me4QPjxwl,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,7,10,0,4,8,7,6,Mental Demand,Performance,Performance,Temporal Demand,Effort,Frustration,Performance,Performance,Temporal Demand,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat familiar,Somewhat familiar,Neither well nor poorly,Neither well nor poorly,Somewhat well,Neither useful nor useless,Somewhat useful,Somewhat useful,Both,20,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Part-time employment,For-profit company or business,,"$150,000 or more",Yes,No,Yes,Strongly agree,Agree,5,Somewhat Libertarian,Neutral,Neutral,0,0,Unknown
2019-06-11 14:30:41,2019-06-11 15:57:38,IP Address,134.48.162.132,100,5216,True,2019-06-11 15:57:39,R_qR9K3hP8MfD1miB,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,10,5,0,0,15,5,0,Mental Demand,Performance,Mental Demand,Temporal Demand,Mental Demand,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Mental Demand,Very unfamiliar,Somewhat familiar,Very poorly,Neither well nor poorly,Neither well nor poorly,Neither useful nor useless,Neither useful nor useless,Neither useful nor useless,Neither,26,No,White,,Male,,Bachelor's degree,Unmarried/Single,Full-time employment,For-profit company or business,,"$50,000 to $74,999",No,No,No,Somewhat agree,Somewhat agree,7,Libertarian,Fiscally conservative,Neutral,0,0,Unknown
2019-06-11 16:30:23,2019-06-11 16:48:35,IP Address,134.48.163.130,100,1091,True,2019-06-11 16:48:36,R_1QykFb71ay9clXB,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,16,8,0,6,12,12,8,Mental Demand,Performance,Performance,Temporal Demand,Mental Demand,Frustration,Performance,Performance,Temporal Demand,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Temporal Demand,Somewhat familiar,Somewhat familiar,Somewhat poorly,Somewhat poorly,Neither well nor poorly,Neither useful nor useless,Neither useful nor useless,Somewhat useful,Both,25,No,White,,Female,,Doctorate degree,Unmarried/Single,Full-time employment,Government (including law enforcement),,"$50,000 to $74,999",No,Yes,No,Somewhat agree,Agree,1,Libertarian,Somewhat fiscally Liberal,Positive,1,0,Unknown
2019-06-12 08:52:39,2019-06-12 09:54:19,IP Address,134.48.162.192,100,3699,True,2019-06-12 09:54:20,R_tQCXSF4ZwGtxcSl,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,22,10,1,1,7,5,4,Mental Demand,Performance,Mental Demand,Frustration,Mental Demand,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Very unfamiliar,Very unfamiliar,Very poorly,Neither well nor poorly,Neither well nor poorly,Neither useful nor useless,Neither useful nor useless,Neither useful nor useless,Neither,21,No,White,,Male,,High school diploma or GED,Unmarried/Single,Full-time employment,For-profit company or business,,"$75,000 to $99,999",Yes,No,Yes,Somewhat agree,Agree,5,Neutral,Highly fiscally conservative,Neutral,0,0,Unknown
2019-06-12 10:22:53,2019-06-12 12:00:30,IP Address,134.48.162.192,100,5856,True,2019-06-12 12:00:30,R_bKiR7fpnCQ5yhyx,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,19,10,0,3,12,15,2,Mental Demand,Performance,Mental Demand,Temporal Demand,Effort,Physical Demand,Performance,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Very unfamiliar,Very unfamiliar,Very poorly,Somewhat poorly,Somewhat poorly,Somewhat useful,Very useful,Very useful,Both,21,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Part-time employment,For-profit company or business,,"Less than $25,000",Yes,No,No,Somewhat agree,Agree,5,Somewhat Authoritarian,Neutral,Positive,1,0,Unknown
2019-06-12 12:11:31,2019-06-12 13:22:32,IP Address,134.48.162.192,100,4261,True,2019-06-12 13:22:33,R_3dYfCJAEomRZ7ke,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,20,8,1,0,11,7,3,Mental Demand,Frustration,Mental Demand,Temporal Demand,Mental Demand,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Temporal Demand,Effort,Mental Demand,Mental Demand,Very unfamiliar,Very unfamiliar,Very poorly,Neither well nor poorly,Very well,Very useless,Somewhat useful,Somewhat useful,Neither,21,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Student,Other (please specify),University,"$150,000 or more",No,Yes,Yes,Somewhat agree,Somewhat agree,4,Somewhat Libertarian,Somewhat fiscally conservative,Neutral,0,0,Unknown
2019-06-12 12:18:17,2019-06-12 13:23:56,IP Address,134.48.163.130,100,3939,True,2019-06-12 13:23:57,R_1DTrN9ipAkw1en1,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,17,4,1,2,17,4,1,Mental Demand,Frustration,Mental Demand,Frustration,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Frustration,Temporal Demand,Effort,Mental Demand,Mental Demand,Neutral,Very familiar,Somewhat poorly,Somewhat poorly,Somewhat well,Neither useful nor useless,Neither useful nor useless,Very useful,Both,21,No,White,,Female,,Currently enrolled in college,Unmarried/Single,Student,For-profit company or business,,"Less than $25,000",Yes,No,No,Somewhat disagree,Somewhat disagree,1,Somewhat Libertarian,Somewhat fiscally conservative,Negative,-1,0,Unknown
2019-06-12 13:37:15,2019-06-12 15:52:48,IP Address,134.48.161.65,100,8133,True,2019-06-12 15:52:49,R_POPKcrBO7t5gNMd,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,18,7,2,3,17,3,2,Mental Demand,Performance,Performance,Temporal Demand,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat familiar,Somewhat familiar,Neither well nor poorly,Somewhat poorly,Very poorly,Neither useful nor useless,Neither useful nor useless,Somewhat useless,Neither,27,No,White,,Male,,Bachelor's degree,Unmarried/Single,Full-time employment,Government (including law enforcement),,"$50,000 to $74,999",No,No,No,Somewhat agree,Somewhat agree,4,Libertarian,Fiscally conservative,Neutral,0,0,Unknown
2019-06-13 12:41:58,2019-06-13 13:18:29,IP Address,134.48.162.192,100,2190,True,2019-06-13 13:18:29,R_2Qyc4HLaSkcohQF,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,23,5,1,3,13,3,1,Mental Demand,Performance,Mental Demand,Temporal Demand,Mental Demand,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat unfamiliar,Very unfamiliar,Very poorly,Very poorly,Very poorly,Somewhat useless,Somewhat useful,Neither useful nor useless,MPD,21,No,East Asian,,Female,,Currently enrolled in college,Unmarried/Single,Student,For-profit company or business,,"$25,000 to $34,999",No,No,No,Somewhat agree,Somewhat agree,5,Neutral,Neutral,Neutral,0,0,Unknown
2019-06-13 14:11:40,2019-06-13 14:35:25,IP Address,134.48.160.177,100,1424,True,2019-06-13 14:35:25,R_3phYVOAEJOTHViW,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,15,7,1,5,12,6,9,Mental Demand,Performance,Mental Demand,Temporal Demand,Effort,Frustration,Effort,Performance,Effort,Temporal Demand,Effort,Performance,Effort,Mental Demand,Mental Demand,Somewhat unfamiliar,Somewhat unfamiliar,Very poorly,Very poorly,Neither well nor poorly,Neither useful nor useless,Neither useful nor useless,Somewhat useful,Neither,20,No,"White,Black or African American",,Female,,Some college,Unmarried/Single,Student,Not currently employed,,"Less than $25,000",No,No,Yes,Agree,Somewhat agree,2,Somewhat Libertarian,Fiscally Liberal,Neutral,0,0,Unknown
2019-06-13 13:36:41,2019-06-13 15:52:57,IP Address,134.48.162.192,100,8176,True,2019-06-13 15:52:58,R_2B5O3sl8WZdNr1q,,,,,43.0388946533203125,-87.90650177001953125,anonymous,EN,24,1,1,1,14,1,1,Mental Demand,Performance,Performance,Frustration,Effort,Frustration,Performance,Physical Demand,Effort,Temporal Demand,Effort,Performance,Physical Demand,Mental Demand,Temporal Demand,Very unfamiliar,Neutral,Very poorly,Somewhat well,Somewhat poorly,Very useless,Somewhat useful,Somewhat useless,Neither,21,No,White,,Male,,Some college,Unmarried/Single,Retired,Government (including law enforcement),,"Less than $25,000",Yes,No,Yes,Somewhat agree,Agree,8,Libertarian,Highly fiscally conservative,Positive,1,0,Unknown
